Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
coconut puddinpie,"desserts	pies",1 pie,"2 tb soft butter	1 c  sifted confectioners sugar	3    eggs separated	1/2 ts vanilla	1/2 c  evaporated milk, undiluted	1/8 ts salt	2 c  freshly grated coconut	pn ground nutmeg	1    9 inch pie shell, baked","<RECIPE_START> beat egg yolks with sugar and beat until light and fluffy add egg yolks , one at a time , beating well after each addition beat in vanilla and lemon zest beat in egg whites until stiff and fold in the whites pour into prepared pan bake at 350 degrees for 40 minutes or until cake tests done cool in pan on a wire rack for 10 minutes remove from pan and cool completely on a wire rack <RECIPE_END>","<RECIPE_START> in a medium saucepan , combine the sugar and cocoa , and cook over medium heat , stirring constantly , until the mixture is smooth and the sugar is dissolved , about 5 minutes remove from the heat and stir in the milk , vanilla and salt and mix well pour into a 9 - inch springform pan bake in a preheated 350 degree f oven for 45 minutes or until the custard is set cool completely on a wire rack and refrigerate for at least 2 hours before serving <RECIPE_END>","<RECIPE_START> preheat oven to 350 degrees f cream together butter , sugar , egg yolks , vanilla and salt add egg yolks , vanilla and salt beat until thick and creamy add lemon juice and vanilla beat until stiff fold in stiffly beaten egg whites pour into prepared pan bake in preheated 350 degree oven for 30 minutes or until cake tests done cool on wire rack <RECIPE_END>","<RECIPE_START> beat eggs until butter is melted , milk , vanilla and salt in a bowl beat eggs and milk together in a small bowl until light and fluffy beat in vanilla and coconut pour into pie shell and bake at 350 degrees f for 30 to 35 minutes or until a knife inserted in center comes out clean cool in pan on a wire rack for 10 minutes remove from pan and cool completely on a wire rack <RECIPE_END>"
colombo curry paste martinique,spice mix,1 /2 cup,"1 1/2 tb turmeric	1 1/2 tb coriander seeds	1 1/2 tb black mustard seeds	1 1/2 tb black peppercorns	1 1/2 tb cumin seeds	3    garlic cloves peeled and grated	2    fresh habenero chilies or ed jalape?o peppers seeds and stems removed minced","<RECIPE_START> in a mortar , combine all ingredients and mix well <RECIPE_END>","<RECIPE_START> heat the ghee in a large heavy pot over medium heat add the cumin seeds and garlic , and cook for 5 minutes , stirring frequently add the coriander seeds and cumin seeds and cook for 5 minutes , stirring occasionally add the coriander seeds and cumin seeds and cook for 5 minutes , stirring occasionally add the coriander seeds and cumin seeds and cook for 5 minutes longer , or until the liquid has evaporated and the liquid has evaporated and the liquid has been absorbed and the liquid is absorbed , stirring occasionally to prevent sticking <RECIPE_END>","<RECIPE_START> heat the ghee in a large frying pan over medium heat add the cumin seeds , cumin , cumin , and cumin seeds , stirring constantly , until the mixture is hot and fragrant , about 5 minutes add the cumin seeds and cook for a few seconds , then add the spices and cook for a few seconds , then add the spices and cook for a few seconds more add the cumin seeds and continue to cook for another 5 minutes , stirring constantly , until the mixture thickens and becomes thick serve the hot hot cooked rice <RECIPE_END>","<RECIPE_START> place the garlic seeds in a small saucepan and add the peppercorns , chilies , turmeric , cumin seeds , coriander seeds and cumin seeds and cook over medium heat for 5 minutes , stirring constantly add the mustard seeds , peppers , coriander seeds and cumin seeds and cook for a minute or two , stirring constantly remove from the heat and stir in the coriander , coriander , coriander , coriander , coriander , coriander seeds , coriander seeds , coriander , coriander , coriander , coriander and cumin seeds and serve <RECIPE_END>"
confetti zucchini relish,"condiments	vegetables",16 half-pints.,"10 c  zucchini, chopped	4 c  onion, chopped	5 tb salt	1    sweet red pepper, chopped	1    green pepper, chopped	3 c  sugar	2 tb cornstarch	1 tb turmeric	2 ts dry mustard	2 ts celery seed	1/2 ts pepper	2 1/2 c  cider vinegar","<RECIPE_START> combine vegetables , carrots , celery , carrots , celery , and onion in a large saucepan bring to a boil , stirring constantly , until mixture is thick & tender add water & bring to a boil reduce heat & simmer for 10 minutes add the remaining ingredients & simmer for 10 minutes more serve hot <RECIPE_END>","<RECIPE_START> combine all ingredients in a large saucepan bring to a boil , cover and simmer for 30 minutes , stirring occasionally add vinegar and sugar simmer for 5 minutes , stirring occasionally serve over rice <RECIPE_END>","<RECIPE_START> in a large saucepan , combine the onion , green pepper , celery , sugar , salt , sugar , vinegar , sugar , vinegar , sugar , vinegar , sugar , vinegar , sugar , vinegar , sugar , mustard , salt , pepper , sugar , vinegar , sugar , vinegar , sugar , vinegar , sugar , vinegar , sugar , vinegar , sugar , vinegar , and salt bring to a boil reduce heat , cover and simmer for 15 minutes , stirring occasionally serve hot <RECIPE_END>","<RECIPE_START> cook sugar , onion , pepper , mustard , salt , red pepper , and celery in a large saucepan until sugar dissolves add zucchini , turmeric and sugar simmer , stirring occasionally , for 10 minutes add green pepper and cook until tender , stirring frequently , about 10 minutes add cornstarch mixture , stirring constantly cook , stirring constantly , until mixture is thick and bubbly , about 5 minutes stir in vinegar , sugar and vinegar cook , stirring constantly , until mixture is thickened , stirring constantly remove from heat stir in vinegar , sugar and salt heat to boiling , stirring constantly reduce heat and simmer , stirring occasionally , until mixture thickens and boils , about 10 minutes stir in vinegar , sugar and vinegar simmer , stirring constantly , until mixture thickens and boils , about 10 minutes stir in vinegar and sugar simmer , stirring constantly , until mixture thickens , about 5 minutes stir in vinegar , sugar , vinegar , sugar and vinegar bring to boil , stirring constantly boil and stir 1 minute add hot sauce to hot mixture and cook , stirring constantly , until mixture thickens and boils , stirring occasionally , about 10 minutes <RECIPE_END>"
cook up an oriental hot pot,"appetizers	beef	chinese",4 servings,"1 lb raw shrimp, peeled and deveined	2    chicken breasts, skinned, boned, and sliced very thin, across grain	1/2 lb beef sirloin sliced very thin, across grain	1/2    head chinese cabbage or 1 lettuce heart, coarsely cubed	1 c  cubed egg plant or 1 5-ounce can (2/3 cup) water chestnuts, rained and thinly sliced	1 1/2 c  halved fresh mushrooms	4 c  small spinach leaves (stems removed)	14 oz cans (5 1/4 cups) chicken broth	3    chicken bouillon cubes	1 tb monosodium glutamate	1/2 tb grated gingerroot or 1/2 teaspoon ground ginger","<RECIPE_START> in a large saucepan , bring the stock to a boil add the rice and cook for 2 minutes add the rice and cook for 2 minutes add the rice and stir - fry for 2 minutes add the mushrooms and cook for another 5 minutes , stirring occasionally add the stock and bring to a boil reduce the heat to low and simmer , covered , for 20 minutes , or until the rice is tender and the liquid is reduced to 1 cup add the stock and bring to a boil reduce the heat to low and simmer for 30 minutes , or until the sauce is reduced by half , and serve immediately <RECIPE_END>","<RECIPE_START> in a large bowl , combine chicken , shrimp , onion , and pepper in a large bowl , combine egg white , water , and pepper mix well add to chicken mixture and toss to coat cover and refrigerate at least 1 hour or up to 2 days before serving <RECIPE_END>","<RECIPE_START> cut chicken into 1 - inch pieces combine all ingredients except shrimp and marinate in refrigerator for at least 1 hour or overnight , or overnight in refrigerator <RECIPE_END>","<RECIPE_START> chicken chicken broth in large bowl , combine beef , egg , mushrooms , chicken , shrimp , chicken , lettuce , chicken , chicken breasts , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken , chicken water and chicken bouillon cubes cover and refrigerate at least 2 hours or overnight <RECIPE_END>"
cookies n creme pie,"pies	desserts",1 pie,"1    7-oz. cookies 'n' creme bar or ookies 'n' creme nuggets	1/2 c  milk	1 1/2 c  miniature marshmallows	3 1/2 c  non-dairy whipped topping  thawed	1    6-oz. chocolate crumb crust	sweetened whipped cream; or on-dairy whipped topping","<RECIPE_START> prepare each package directions and set aside combine cream cheese , sugar and vanilla in large bowl beat at medium speed of electric mixer until well blended stir in vanilla and chocolate chips pour into prepared pan chill until firm , about 1 hour <RECIPE_END>","<RECIPE_START> in a large bowl , combine the chocolate , milk and chocolate chips and stir until smooth pour into a 9 - inch square pan chill until firm , about 1 hour before serving <RECIPE_END>","<RECIPE_START> mix crumbs and margarine press into bottom of 9 - inch springform pan bake at 350 degrees f for 10 minutes cool completely combine cream cheese and sugar in a large bowl beat until smooth add remaining milk and blend until smooth spread over crust chill until firm , about 1 hour <RECIPE_END>","<RECIPE_START> milk crust cookies , chocolate chips , creme de menthe , whipped topping , chocolate pudding , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , whipped topping , chocolate chips , and whipped topping in a large bowl stir in the chocolate mixture and whipped topping pour into a 9 - inch square baking pan bake at 350 degrees for 30 minutes or until set cool on wire rack <RECIPE_END>"
cooking lights bread stuffing,"cyberealm	side dishes	low-cal	low-fat",10 servings,"1    (16 oz) load french bread, cut into 1 inch cubes	3 tb reduced-calorie stick	.margarine	1 1/2 c  chopped celery	3/4 c  chopped onion	1/4 c  water	1/2 ts salt	1/2 ts rubbed sage	1/2 ts dried thyme	1/4 ts pepper	1    (10 1/2 oz) can low-salt	.chicken broth	vegetable cooking spray","<RECIPE_START> place all ingredients in a large bowl cover and refrigerate at least 2 hours or overnight preheat oven to 350 degrees f in a large bowl , combine the remaining ingredients , except the stuffing mix well shape into a loaf place in a greased baking dish bake at 350 degrees for 45 minutes or until done <RECIPE_END>","<RECIPE_START> combine all ingredients in a large bowl stir in turkey , poultry , and pepper cover and refrigerate at least 1 hour or until firm to the touch , about 1 hour in a large bowl , combine the stuffing ingredients and mix well spoon stuffing mixture into a greased 13 x 9 x 2 - inch baking dish cover with foil and bake at 350 degrees for 30 minutes or until potatoes are tender and no longer pink inside and thickest part of the meat is done <RECIPE_END>","<RECIPE_START> in a large skillet , heat the oil over medium heat add the onion and celery saute until tender , about 5 minutes add the onion , celery , and celery , and cook , stirring , until the onion is tender , about 5 minutes add the remaining ingredients and stir until well blended pour into a greased 9 - inch square baking dish bake at 350 degrees for 30 minutes or until the vegetables are tender <RECIPE_END>","<RECIPE_START> place onion , margarine , salt , sage , pepper and thyme in a large saucepan bring water to a boil add celery , bread crumbs , and vegetable bouillon cover and cook over low heat until tender , about 10 minutes remove chicken from skillet and set aside in a large skillet , melt margarine add chicken broth and bouillon granules cook over medium heat , stirring constantly , until mixture boils and thickens , about 5 minutes stir in remaining 1 cup of cooking cooking cooking cooking cooking cooking cooking cooking until smooth add to skillet cook , stirring constantly , until thickened and bubbly stir in remaining 1/4 cup of the cooking cooking cooking cooking spray in a small saucepan , melt margarine add onion and cook until tender , stirring occasionally , about 5 minutes stir in remaining ingredients and cook , stirring constantly , until thickened and bubbly , about 5 minutes serve over hot cooked bread <RECIPE_END>"
cooking vanilla,mixes,1 servings,"1    bottle straight	bourbon whisky -- (750 ml)	4    vanilla beans","<RECIPE_START> mix all ingredients in a large bowl , cover and let stand at room temperature for at least 30 minutes before serving <RECIPE_END>",<RECIPE_START> combine all ingredients in a jar and shake well <RECIPE_END>,<RECIPE_START> put all ingredients in a blender and blend until smooth <RECIPE_END>,<RECIPE_START> put the bottle in a blender and add the vanilla beans and mix well <RECIPE_END>
corn meal dough,mexican,8 servings,"4 c  corn meal	2 ts salt	8 c  water	2    eggs, well beaten	4 tb butter","<RECIPE_START> wash the dry and cut into small pieces and set aside melt the butter in a large saucepan add the onion and cook until soft add the flour and cook , stirring constantly , until the mixture is smooth and the mixture is smooth and thick add the milk and stir until the mixture is smooth and the mixture is thick and smooth add the milk and stir until the mixture is thick and smooth add the remaining ingredients and stir well add the coconut milk and cook over medium heat , stirring constantly , until the mixture thickens and comes to a boil remove from heat and stir in the cream and the salt and pepper to taste <RECIPE_END>","<RECIPE_START> combine the water and salt in a saucepan and bring to a boil , then simmer for about 10 minutes , stirring occasionally remove from heat and cool to room temperature add salt and pepper to taste , and mix well <RECIPE_END>","<RECIPE_START> combine all ingredients in a saucepan and bring to a boil add corn and cook until thick enough to handle , add a little water to the pan and stir until the mixture is thick and smooth remove from heat and stir in the corn flakes <RECIPE_END>","<RECIPE_START> mix corn water , eggs , salt and butter in a large pot and bring to a boil add corn and cook , stirring constantly , until mixture is thick and bubbly , about 10 minutes add the corn and cook until the mixture thickens and boils , about 5 minutes add the hot sauce and stir until the mixture is thick and creamy <RECIPE_END>"
corn relish la times,"relishes	vegetables",1 servings,"20    ears tender corn; -=or=-	2 1/2 qt -frozen whole kernel corn,  (thawed)	1 1/4 c  chopped onions	1 c  chopped green bell peppers	1 c  chopped red bell peppers	1 c  chopped celery	2 2/3 c  white vinegar	2 c  water	1 1/2 c  sugar	4 1/2 ts mustard seeds	1 tb salt	1 ts celery seeds	1/2 ts ground turmeric","<RECIPE_START> place popped corn in a large saucepan with water to cover bring to a boil , reduce heat and simmer for 10 minutes or until tender drain and set aside in a large bowl , combine corn , corn syrup , vinegar , sugar , salt , and pepper bring to a boil , reduce heat and simmer for 10 minutes or until tender drain and set aside in a large bowl , combine corn , corn syrup , vinegar , sugar , salt , and pepper to taste stir in corn chips , corn , corn syrup and water cover and cook on low for 6 to 8 hours or until tender <RECIPE_END>","<RECIPE_START> peel and seed the peppers and cut into 1/2 - inch cubes in a large saucepan , bring the water to a boil add the corn and simmer for 10 minutes , stirring occasionally remove the skins from the heat and let cool enough to handle , then cut the kernels into 1/2 - inch cubes in a large saucepan , combine the corn , water , corn , corn syrup , corn syrup , corn syrup , vinegar , and salt bring to a boil , reduce heat and simmer for 10 minutes , stirring occasionally , until the liquid is absorbed and the vegetables are tender , about 15 minutes cool the mixture and add the corn syrup , vinegar , sugar , and salt and pepper to taste bring to a boil , reduce heat and simmer for 10 minutes , stirring occasionally , until the mixture is thick and the mixture is thick and creamy <RECIPE_END>","<RECIPE_START> wash and dry the corn , cut off the cobs , and cut into 1 - inch pieces place in a large kettle with water and bring to a boil reduce heat and simmer for 30 minutes remove from heat and cool to room temperature , then add the corn , corn , and green peppers , and simmer for about 1 hour , or until the corn is tender remove from the heat and cool completely store in a cool dry place and use within 6 months <RECIPE_END>","<RECIPE_START> cut onions in half lengthwise , and cut into 1 inch cubes place vinegar , sugar , water , corn , celery seeds , salt , and sugar in a large saucepan bring to a boil , reduce heat and simmer , uncovered , for 10 minutes add water and cook until tender , stirring occasionally , for about 10 minutes add water and cook until tender , stirring occasionally , about 15 minutes add vinegar and cook until tender , stirring frequently , about 5 minutes pour into hot sterilized jars and seal <RECIPE_END>"
bongo bongo soup,"soup/stew	fish/seafoo",4 servings,"1 c  fresh oysters -- shucked	1 tb cornstarch	1/2 c  spinach -- chopped	1/2 c  water	1 qt milk	1 ts salt	2 tb butter	1/2 ts pepper	1 ts a-1? steak sauce	1/2 c  whipping cream -- whipped","<RECIPE_START> in a saucepan , combine the broth , celery , and onion in a small saucepan bring to a boil , stirring constantly , until the mixture thickens and boils boil , stirring constantly , until the mixture thickens and boils and thickens , about 5 minutes add the cream and cook until the sauce is thickened and smooth stir in the cream and the remaining butter and cook until the sauce is thickened and bubbly , about 2 minutes serve immediately <RECIPE_END>","<RECIPE_START> cook the asparagus in the milk for 5 minutes drain and set aside in a large saucepan , combine the milk , milk , salt , pepper , and pepper bring to a boil , stirring constantly reduce heat to low and simmer for 5 minutes , stirring occasionally serve over hot cooked rice <RECIPE_END>","<RECIPE_START> in a saucepan , combine the milk , water , milk , salt and pepper bring to a boil , reduce heat and simmer for 10 minutes , stirring occasionally add the milk and cook for 5 minutes , stirring constantly add the milk and stir until thickened serve hot <RECIPE_END>","<RECIPE_START> place oysters in butter and salt and pepper to taste in a large saucepan , melt butter add water and milk bring to boil and cook , stirring constantly , for 5 minutes add spinach , cornstarch , and salt and pepper to taste simmer , covered , for 10 minutes or until thickened and bubbly , stirring constantly remove from heat and stir in butter and serve <RECIPE_END>"
